"Gene","Neratinib","Vorinostat","Bortezomib","Number.of.drugs"
"AKAP8L",TRUE,FALSE,FALSE,1
"AKAP9",TRUE,FALSE,FALSE,1
"AKIRIN2",TRUE,FALSE,FALSE,1
"AKR1A1",TRUE,FALSE,FALSE,1
"AKR1C1",TRUE,FALSE,FALSE,1
"AKT1S1",TRUE,FALSE,FALSE,1
"AL592183.1",TRUE,FALSE,FALSE,1
"ALAS1",TRUE,FALSE,FALSE,1
"ALCAM",TRUE,FALSE,FALSE,1
"ALDH18A1",TRUE,FALSE,FALSE,1
"ALDH1A3",TRUE,FALSE,FALSE,1
"ALDH1B1",TRUE,FALSE,FALSE,1
"ALDH6A1",TRUE,FALSE,FALSE,1
"ALDH9A1",TRUE,FALSE,FALSE,1
"ALDOA",TRUE,FALSE,FALSE,1
"ALDOC",TRUE,FALSE,FALSE,1
"ALG14",TRUE,FALSE,FALSE,1
"ALG2",TRUE,FALSE,FALSE,1
"ALG3",TRUE,FALSE,FALSE,1
"ALG5",TRUE,FALSE,FALSE,1
"ALKBH1",TRUE,FALSE,FALSE,1
"ALKBH2",TRUE,FALSE,FALSE,1
"ALKBH3",TRUE,FALSE,FALSE,1
"ALKBH5",TRUE,FALSE,FALSE,1
"ALOXE3",TRUE,FALSE,FALSE,1
"ALS2",TRUE,FALSE,FALSE,1
"ALYREF",TRUE,FALSE,FALSE,1
"AMD1",TRUE,FALSE,FALSE,1
"AMFR",TRUE,FALSE,FALSE,1
"AMH",TRUE,FALSE,FALSE,1
"AMHR2",TRUE,FALSE,FALSE,1
"AMMECR1L",TRUE,FALSE,FALSE,1
"AMN1",TRUE,FALSE,FALSE,1
"AMOTL2",TRUE,FALSE,FALSE,1
"ANAPC1",TRUE,FALSE,FALSE,1
"ANAPC10",TRUE,FALSE,FALSE,1
"ANAPC13",TRUE,FALSE,FALSE,1
"ANAPC5",TRUE,FALSE,FALSE,1
"ANAPC7",TRUE,FALSE,FALSE,1
"ANG",TRUE,FALSE,FALSE,1
"ANGPTL4",TRUE,FALSE,FALSE,1
"ANKHD1",TRUE,FALSE,FALSE,1
"ANKIB1",TRUE,FALSE,FALSE,1
"ANKLE2",TRUE,FALSE,FALSE,1
"ANKRD11",TRUE,FALSE,FALSE,1
"ANKRD12",TRUE,FALSE,FALSE,1
"ANKRD13A",TRUE,FALSE,FALSE,1
"ANKRD17",TRUE,FALSE,FALSE,1
"ANKRD18A",TRUE,FALSE,FALSE,1
"ANKRD36C",TRUE,FALSE,FALSE,1
"ANKRD40",TRUE,FALSE,FALSE,1
"ANKRD49",TRUE,FALSE,FALSE,1
"ANKRD50",TRUE,FALSE,FALSE,1
"ANKRD54",TRUE,FALSE,FALSE,1
"ANKS1A",TRUE,FALSE,FALSE,1
"ANKS3",TRUE,FALSE,FALSE,1
"ANP32B",TRUE,FALSE,FALSE,1
"ANXA1",TRUE,FALSE,FALSE,1
"ANXA3",TRUE,FALSE,FALSE,1
"ANXA4",TRUE,FALSE,FALSE,1
"ANXA7",TRUE,FALSE,FALSE,1
"AOC2",TRUE,FALSE,FALSE,1
"AOX1",TRUE,FALSE,FALSE,1
"AP001505.10",TRUE,FALSE,FALSE,1
"AP006222.2",TRUE,FALSE,FALSE,1
"AP1AR",TRUE,FALSE,FALSE,1
"AP1G1",TRUE,FALSE,FALSE,1
"AP1M2",TRUE,FALSE,FALSE,1
"AP1S1",TRUE,FALSE,FALSE,1
"AP1S3",TRUE,FALSE,FALSE,1
"AP2A2",TRUE,FALSE,FALSE,1
"AP2B1",TRUE,FALSE,FALSE,1
"AP2S1",TRUE,FALSE,FALSE,1
"AP3D1",TRUE,FALSE,FALSE,1
"AP5B1",TRUE,FALSE,FALSE,1
"AP5M1",TRUE,FALSE,FALSE,1
"AP5Z1",TRUE,FALSE,FALSE,1
"APEX1",TRUE,FALSE,FALSE,1
"API5",TRUE,FALSE,FALSE,1
"APITD1",TRUE,FALSE,FALSE,1
"APLP2",TRUE,FALSE,FALSE,1
"APMAP",TRUE,FALSE,FALSE,1
"APOBEC3B",TRUE,FALSE,FALSE,1
"APOD",TRUE,FALSE,FALSE,1
"APOL2",TRUE,FALSE,FALSE,1
"APOOL",TRUE,FALSE,FALSE,1
"APOPT1",TRUE,FALSE,FALSE,1
"APP",TRUE,FALSE,FALSE,1
"APPBP2",TRUE,FALSE,FALSE,1
"APPL1",TRUE,FALSE,FALSE,1
"APPL2",TRUE,FALSE,FALSE,1
"APTR",TRUE,FALSE,FALSE,1
"APTX",TRUE,FALSE,FALSE,1
"AR",TRUE,FALSE,FALSE,1
"ARCN1",TRUE,FALSE,FALSE,1
"AREG",TRUE,FALSE,FALSE,1
"ARF3",TRUE,FALSE,FALSE,1
"ARF6",TRUE,FALSE,FALSE,1
"ARFGAP1",TRUE,FALSE,FALSE,1
"ARFGAP2",TRUE,FALSE,FALSE,1
"ARFGAP3",TRUE,FALSE,FALSE,1
"ARFGEF3",TRUE,FALSE,FALSE,1
"ARFIP1",TRUE,FALSE,FALSE,1
"ARFIP2",TRUE,FALSE,FALSE,1
"ARGLU1",TRUE,FALSE,FALSE,1
"ARHGAP12",TRUE,FALSE,FALSE,1
"ARHGAP21",TRUE,FALSE,FALSE,1
"ARHGAP29",TRUE,FALSE,FALSE,1
"ARHGAP32",TRUE,FALSE,FALSE,1
"ARHGAP44",TRUE,FALSE,FALSE,1
"ARHGAP5",TRUE,FALSE,FALSE,1
"ARHGAP5-AS1",TRUE,FALSE,FALSE,1
"ARHGAP8",TRUE,FALSE,FALSE,1
"ARHGDIA",TRUE,FALSE,FALSE,1
"ARHGEF10",TRUE,FALSE,FALSE,1
"ARHGEF12",TRUE,FALSE,FALSE,1
"ARHGEF16",TRUE,FALSE,FALSE,1
"ARHGEF2",TRUE,FALSE,FALSE,1
"ARHGEF35",TRUE,FALSE,FALSE,1
"ARHGEF37",TRUE,FALSE,FALSE,1
"ARHGEF38",TRUE,FALSE,FALSE,1
"ARHGEF5",TRUE,FALSE,FALSE,1
"ARID3A",TRUE,FALSE,FALSE,1
"ARID3B",TRUE,FALSE,FALSE,1
"ARID4B",TRUE,FALSE,FALSE,1
"ARID5B",TRUE,FALSE,FALSE,1
"ARIH1",TRUE,FALSE,FALSE,1
"ARIH2",TRUE,FALSE,FALSE,1
"ARL1",TRUE,FALSE,FALSE,1
"ARL14",TRUE,FALSE,FALSE,1
"ARL14EP",TRUE,FALSE,FALSE,1
"ARL16",TRUE,FALSE,FALSE,1
"ARL17B",TRUE,FALSE,FALSE,1
"ARL2",TRUE,FALSE,FALSE,1
"ARL2BP",TRUE,FALSE,FALSE,1
"ARL3",TRUE,FALSE,FALSE,1
"ARL5B",TRUE,FALSE,FALSE,1
"ARL6IP1",TRUE,FALSE,FALSE,1
"ARL8A",TRUE,FALSE,FALSE,1
"ARL8B",TRUE,FALSE,FALSE,1
"ARL9",TRUE,FALSE,FALSE,1
"ARMC10",TRUE,FALSE,FALSE,1
"ARMC6",TRUE,FALSE,FALSE,1
"ARMC7",TRUE,FALSE,FALSE,1
"ARMCX1",TRUE,FALSE,FALSE,1
"ARMCX2",TRUE,FALSE,FALSE,1
"ARMCX3",TRUE,FALSE,FALSE,1
"ARMCX6",TRUE,FALSE,FALSE,1
"ARMT1",TRUE,FALSE,FALSE,1
"ARNTL2",TRUE,FALSE,FALSE,1
"ARPC4",TRUE,FALSE,FALSE,1
"ARPC5L",TRUE,FALSE,FALSE,1
"ARPP19",TRUE,FALSE,FALSE,1
"ARRDC1-AS1",TRUE,FALSE,FALSE,1
"ARRDC3",TRUE,FALSE,FALSE,1
"ARRDC4",TRUE,FALSE,FALSE,1
"ARSD",TRUE,FALSE,FALSE,1
"ARSJ",TRUE,FALSE,FALSE,1
"ASB1",TRUE,FALSE,FALSE,1
"ASB6",TRUE,FALSE,FALSE,1
"ASCC2",TRUE,FALSE,FALSE,1
"ASCC3",TRUE,FALSE,FALSE,1
"ASH2L",TRUE,FALSE,FALSE,1
"ASNA1",TRUE,FALSE,FALSE,1
"ASNS",TRUE,FALSE,FALSE,1
"ASNSD1",TRUE,FALSE,FALSE,1
"ASPH",TRUE,FALSE,FALSE,1
"ASPHD1",TRUE,FALSE,FALSE,1
"ASUN",TRUE,FALSE,FALSE,1
"ASXL1",TRUE,FALSE,FALSE,1
"ATAD1",TRUE,FALSE,FALSE,1
"ATAD3A",TRUE,FALSE,FALSE,1
"ATAD3B",TRUE,FALSE,FALSE,1
"ATAD3C",TRUE,FALSE,FALSE,1
"ATAT1",TRUE,FALSE,FALSE,1
"ATE1",TRUE,FALSE,FALSE,1
"ATF1",TRUE,FALSE,FALSE,1
"ATF4",TRUE,FALSE,FALSE,1
"ATF6",TRUE,FALSE,FALSE,1
"ATF7",TRUE,FALSE,FALSE,1
"ATG101",TRUE,FALSE,FALSE,1
"ATG12",TRUE,FALSE,FALSE,1
"ATG13",TRUE,FALSE,FALSE,1
"ATG16L1",TRUE,FALSE,FALSE,1
"ATG3",TRUE,FALSE,FALSE,1
"ATG4A",TRUE,FALSE,FALSE,1
"ATG4B",TRUE,FALSE,FALSE,1
"ATG4D",TRUE,FALSE,FALSE,1
"ATG5",TRUE,FALSE,FALSE,1
"ATG9A",TRUE,FALSE,FALSE,1
"ATIC",TRUE,FALSE,FALSE,1
"ATL1",TRUE,FALSE,FALSE,1
"ATL2",TRUE,FALSE,FALSE,1
"ATL3",TRUE,FALSE,FALSE,1
"ATMIN",TRUE,FALSE,FALSE,1
"ATOX1",TRUE,FALSE,FALSE,1
"ATP13A3",TRUE,FALSE,FALSE,1
"ATP1B1",TRUE,FALSE,FALSE,1
"ATP1B3",TRUE,FALSE,FALSE,1
"ATP2A2",TRUE,FALSE,FALSE,1
"ATP5A1",TRUE,FALSE,FALSE,1
"ATP5B",TRUE,FALSE,FALSE,1
"ATP5E",TRUE,FALSE,FALSE,1
"ATP5EP2",TRUE,FALSE,FALSE,1
"ATP5F1",TRUE,FALSE,FALSE,1
"ATP5G1",TRUE,FALSE,FALSE,1
"ATP5H",TRUE,FALSE,FALSE,1
"ATP5I",TRUE,FALSE,FALSE,1
"ATP5J2",TRUE,FALSE,FALSE,1
"ATP5O",TRUE,FALSE,FALSE,1
"ATP5SL",TRUE,FALSE,FALSE,1
"ATP6AP2",TRUE,FALSE,FALSE,1
"ATP6V0A1",TRUE,FALSE,FALSE,1
"ATP6V0D1",TRUE,FALSE,FALSE,1
"ATP6V1A",TRUE,FALSE,FALSE,1
"ATP6V1B2",TRUE,FALSE,FALSE,1
"ATP6V1C1",TRUE,FALSE,FALSE,1
"ATP6V1D",TRUE,FALSE,FALSE,1
"ATP6V1E1",TRUE,FALSE,FALSE,1
"ATP6V1E2",TRUE,FALSE,FALSE,1
"ATP6V1F",TRUE,FALSE,FALSE,1
"ATP6V1H",TRUE,FALSE,FALSE,1
"ATP8B1",TRUE,FALSE,FALSE,1
"ATP9A",TRUE,FALSE,FALSE,1
"ATPAF1",TRUE,FALSE,FALSE,1
"ATPAF2",TRUE,FALSE,FALSE,1
"ATRAID",TRUE,FALSE,FALSE,1
"ATXN1",TRUE,FALSE,FALSE,1
"ATXN1L",TRUE,FALSE,FALSE,1
"ATXN2",TRUE,FALSE,FALSE,1
"ATXN3",TRUE,FALSE,FALSE,1
"ATXN7L3B",TRUE,FALSE,FALSE,1
"AUP1",TRUE,FALSE,FALSE,1
"AURKAIP1",TRUE,FALSE,FALSE,1
"AURKC",TRUE,FALSE,FALSE,1
"AVEN",TRUE,FALSE,FALSE,1
"AVIL",TRUE,FALSE,FALSE,1
"AXIN1",TRUE,FALSE,FALSE,1
"AZGP1",TRUE,FALSE,FALSE,1
"AZI2",TRUE,FALSE,FALSE,1
"AZIN1",TRUE,FALSE,FALSE,1
"B3GALT6",TRUE,FALSE,FALSE,1
"B3GAT2",TRUE,FALSE,FALSE,1
"B3GNT5",TRUE,FALSE,FALSE,1
"B4GALT2",TRUE,FALSE,FALSE,1
"B4GALT3",TRUE,FALSE,FALSE,1
"B4GALT5",TRUE,FALSE,FALSE,1
"BABAM1",TRUE,FALSE,FALSE,1
"BACE2",TRUE,FALSE,FALSE,1
"BAG1",TRUE,FALSE,FALSE,1
"BAG5",TRUE,FALSE,FALSE,1
"BAG6",TRUE,FALSE,FALSE,1
"BAIAP2",TRUE,FALSE,FALSE,1
"BAIAP2L1",TRUE,FALSE,FALSE,1
"BAK1",TRUE,FALSE,FALSE,1
"BAMBI",TRUE,FALSE,FALSE,1
"BANP",TRUE,FALSE,FALSE,1
"BAP1",TRUE,FALSE,FALSE,1
"BARX2",TRUE,FALSE,FALSE,1
"BASP1",TRUE,FALSE,FALSE,1
"BATF3",TRUE,FALSE,FALSE,1
"BAX",TRUE,FALSE,FALSE,1
"BAZ1A",TRUE,FALSE,FALSE,1
"BAZ1B",TRUE,FALSE,FALSE,1
"BAZ2A",TRUE,FALSE,FALSE,1
"BAZ2B",TRUE,FALSE,FALSE,1
"BBC3",TRUE,FALSE,FALSE,1
"BBIP1",TRUE,FALSE,FALSE,1
"BBS12",TRUE,FALSE,FALSE,1
"BBX",TRUE,FALSE,FALSE,1
"BCAP29",TRUE,FALSE,FALSE,1
"BCAP31",TRUE,FALSE,FALSE,1
"BCAR1",TRUE,FALSE,FALSE,1
"BCAR3",TRUE,FALSE,FALSE,1
"BCAT2",TRUE,FALSE,FALSE,1
"BCCIP",TRUE,FALSE,FALSE,1
"BCDIN3D",TRUE,FALSE,FALSE,1
"BCKDK",TRUE,FALSE,FALSE,1
"BCL10",TRUE,FALSE,FALSE,1
"BCL2L10",TRUE,FALSE,FALSE,1
"BCL2L12",TRUE,FALSE,FALSE,1
"BCL2L13",TRUE,FALSE,FALSE,1
"BCL2L2",TRUE,FALSE,FALSE,1
"BCL7A",TRUE,FALSE,FALSE,1
"BCL7B",TRUE,FALSE,FALSE,1
"BCL9L",TRUE,FALSE,FALSE,1
"BCLAF1",TRUE,FALSE,FALSE,1
"BCS1L",TRUE,FALSE,FALSE,1
"BDP1",TRUE,FALSE,FALSE,1
"BECN1",TRUE,FALSE,FALSE,1
"BEND3",TRUE,FALSE,FALSE,1
"BEND7",TRUE,FALSE,FALSE,1
"BEST1",TRUE,FALSE,FALSE,1
"BET1",TRUE,FALSE,FALSE,1
"BEX1",TRUE,FALSE,FALSE,1
"BEX2",TRUE,FALSE,FALSE,1
"BEX5",TRUE,FALSE,FALSE,1
"BFAR",TRUE,FALSE,FALSE,1
"BFSP1",TRUE,FALSE,FALSE,1
"BHLHE40",TRUE,FALSE,FALSE,1
"BHLHE41",TRUE,FALSE,FALSE,1
"BICD1",TRUE,FALSE,FALSE,1
"BID",TRUE,FALSE,FALSE,1
"BIK",TRUE,FALSE,FALSE,1
"BIN3",TRUE,FALSE,FALSE,1
"BLOC1S1",TRUE,FALSE,FALSE,1
"BLOC1S2",TRUE,FALSE,FALSE,1
"BLOC1S3",TRUE,FALSE,FALSE,1
"BLOC1S4",TRUE,FALSE,FALSE,1
"BLOC1S5",TRUE,FALSE,FALSE,1
"BLOC1S6",TRUE,FALSE,FALSE,1
"BLVRA",TRUE,FALSE,FALSE,1
"BLVRB",TRUE,FALSE,FALSE,1
"BLZF1",TRUE,FALSE,FALSE,1
"BMI1",TRUE,FALSE,FALSE,1
"BMS1",TRUE,FALSE,FALSE,1
"BNIP1",TRUE,FALSE,FALSE,1
"BNIP2",TRUE,FALSE,FALSE,1
"BNIP3",TRUE,FALSE,FALSE,1
"BOD1",TRUE,FALSE,FALSE,1
"BOD1L1",TRUE,FALSE,FALSE,1
"BOK",TRUE,FALSE,FALSE,1
"BOLA1",TRUE,FALSE,FALSE,1
"BOLA2B",TRUE,FALSE,FALSE,1
"BOLA3",TRUE,FALSE,FALSE,1
"BOP1",TRUE,FALSE,FALSE,1
"BORCS8",TRUE,FALSE,FALSE,1
"BPHL",TRUE,FALSE,FALSE,1
"BPTF",TRUE,FALSE,FALSE,1
"BRAP",TRUE,FALSE,FALSE,1
"BRCC3",TRUE,FALSE,FALSE,1
"BRD2",TRUE,FALSE,FALSE,1
"BRD4",TRUE,FALSE,FALSE,1
"BRD7",TRUE,FALSE,FALSE,1
"BRD8",TRUE,FALSE,FALSE,1
"BRD9",TRUE,FALSE,FALSE,1
"BRF2",TRUE,FALSE,FALSE,1
"BRI3",TRUE,FALSE,FALSE,1
"BRIX1",TRUE,FALSE,FALSE,1
"BRMS1",TRUE,FALSE,FALSE,1
"BROX",TRUE,FALSE,FALSE,1
"BRWD1",TRUE,FALSE,FALSE,1
"BSDC1",TRUE,FALSE,FALSE,1
"BSG",TRUE,FALSE,FALSE,1
"BSPRY",TRUE,FALSE,FALSE,1
"BTBD10",TRUE,FALSE,FALSE,1
"BTBD3",TRUE,FALSE,FALSE,1
"BTBD7",TRUE,FALSE,FALSE,1
"BTF3",TRUE,FALSE,FALSE,1
"BTF3L4",TRUE,FALSE,FALSE,1
"BTG3",TRUE,FALSE,FALSE,1
"BTN2A1",TRUE,FALSE,FALSE,1
"BTRC",TRUE,FALSE,FALSE,1
"BUB3",TRUE,FALSE,FALSE,1
"BYSL",TRUE,FALSE,FALSE,1
"BZW1",TRUE,FALSE,FALSE,1
"BZW2",TRUE,FALSE,FALSE,1
"C10orf10",TRUE,FALSE,FALSE,1
"C10orf2",TRUE,FALSE,FALSE,1
"C10orf35",TRUE,FALSE,FALSE,1
"C10orf88",TRUE,FALSE,FALSE,1
"C11orf24",TRUE,FALSE,FALSE,1
"C11orf57",TRUE,FALSE,FALSE,1
"C11orf58",TRUE,FALSE,FALSE,1
"C11orf68",TRUE,FALSE,FALSE,1
"C11orf74",TRUE,FALSE,FALSE,1
"C12orf10",TRUE,FALSE,FALSE,1
"C12orf29",TRUE,FALSE,FALSE,1
"C12orf4",TRUE,FALSE,FALSE,1
"C12orf43",TRUE,FALSE,FALSE,1
"C12orf45",TRUE,FALSE,FALSE,1
"C12orf49",TRUE,FALSE,FALSE,1
"C12orf65",TRUE,FALSE,FALSE,1
"C12orf66",TRUE,FALSE,FALSE,1
"C12orf73",TRUE,FALSE,FALSE,1
"C14orf119",TRUE,FALSE,FALSE,1
"C14orf142",TRUE,FALSE,FALSE,1
"C14orf2",TRUE,FALSE,FALSE,1
"C14orf28",TRUE,FALSE,FALSE,1
"C14orf79",TRUE,FALSE,FALSE,1
"C15orf39",TRUE,FALSE,FALSE,1
"C15orf40",TRUE,FALSE,FALSE,1
"C15orf48",TRUE,FALSE,FALSE,1
"C15orf52",TRUE,FALSE,FALSE,1
"C15orf62",TRUE,FALSE,FALSE,1
"C16orf52",TRUE,FALSE,FALSE,1
"C16orf58",TRUE,FALSE,FALSE,1
"C16orf72",TRUE,FALSE,FALSE,1
"C16orf91",TRUE,FALSE,FALSE,1
"C17orf100",TRUE,FALSE,FALSE,1
"C17orf75",TRUE,FALSE,FALSE,1
"C17orf89",TRUE,FALSE,FALSE,1
"C17orf96",TRUE,FALSE,FALSE,1
"C18orf21",TRUE,FALSE,FALSE,1
"C18orf25",TRUE,FALSE,FALSE,1
"C18orf8",TRUE,FALSE,FALSE,1
"C19orf18",TRUE,FALSE,FALSE,1
"C19orf24",TRUE,FALSE,FALSE,1
"C19orf25",TRUE,FALSE,FALSE,1
"C19orf33",TRUE,FALSE,FALSE,1
"C19orf43",TRUE,FALSE,FALSE,1
"C19orf48",TRUE,FALSE,FALSE,1
"C19orf52",TRUE,FALSE,FALSE,1
"C19orf81",TRUE,FALSE,FALSE,1
"C1D",TRUE,FALSE,FALSE,1
"C1GALT1",TRUE,FALSE,FALSE,1
"C1QBP",TRUE,FALSE,FALSE,1
"C1QTNF4",TRUE,FALSE,FALSE,1
"C1QTNF9B-AS1",TRUE,FALSE,FALSE,1
"C1orf106",TRUE,FALSE,FALSE,1
"C1orf109",TRUE,FALSE,FALSE,1
"C1orf116",TRUE,FALSE,FALSE,1
"C1orf131",TRUE,FALSE,FALSE,1
"C1orf132",TRUE,FALSE,FALSE,1
"C1orf198",TRUE,FALSE,FALSE,1
"C1orf210",TRUE,FALSE,FALSE,1
"C1orf27",TRUE,FALSE,FALSE,1
"C1orf35",TRUE,FALSE,FALSE,1
"C1orf43",TRUE,FALSE,FALSE,1
"C1orf52",TRUE,FALSE,FALSE,1
"C1orf56",TRUE,FALSE,FALSE,1
"C20orf24",TRUE,FALSE,FALSE,1
"C21orf59",TRUE,FALSE,FALSE,1
"C2orf42",TRUE,FALSE,FALSE,1
"C2orf44",TRUE,FALSE,FALSE,1
"C2orf47",TRUE,FALSE,FALSE,1
"C2orf49",TRUE,FALSE,FALSE,1
"C2orf54",TRUE,FALSE,FALSE,1
"C2orf82",TRUE,FALSE,FALSE,1
"C3orf14",TRUE,FALSE,FALSE,1
"C3orf17",TRUE,FALSE,FALSE,1
"C3orf38",TRUE,FALSE,FALSE,1
"C3orf52",TRUE,FALSE,FALSE,1
"C3orf62",TRUE,FALSE,FALSE,1
"C4orf32",TRUE,FALSE,FALSE,1
"C5orf24",TRUE,FALSE,FALSE,1
"C5orf28",TRUE,FALSE,FALSE,1
"C5orf38",TRUE,FALSE,FALSE,1
"C5orf46",TRUE,FALSE,FALSE,1
"C5orf51",TRUE,FALSE,FALSE,1
"C6orf106",TRUE,FALSE,FALSE,1
"C6orf120",TRUE,FALSE,FALSE,1
"C6orf132",TRUE,FALSE,FALSE,1
"C6orf141",TRUE,FALSE,FALSE,1
"C6orf48",TRUE,FALSE,FALSE,1
"C6orf52",TRUE,FALSE,FALSE,1
"C6orf62",TRUE,FALSE,FALSE,1
"C7orf26",TRUE,FALSE,FALSE,1
"C7orf49",TRUE,FALSE,FALSE,1
"C7orf50",TRUE,FALSE,FALSE,1
"C7orf55",TRUE,FALSE,FALSE,1
"C7orf61",TRUE,FALSE,FALSE,1
"C8orf33",TRUE,FALSE,FALSE,1
"C8orf4",TRUE,FALSE,FALSE,1
"C8orf58",TRUE,FALSE,FALSE,1
"C8orf59",TRUE,FALSE,FALSE,1
"C8orf76",TRUE,FALSE,FALSE,1
"C8orf82",TRUE,FALSE,FALSE,1
"C9orf114",TRUE,FALSE,FALSE,1
"C9orf116",TRUE,FALSE,FALSE,1
"C9orf40",TRUE,FALSE,FALSE,1
"C9orf64",TRUE,FALSE,FALSE,1
"C9orf69",TRUE,FALSE,FALSE,1
"C9orf78",TRUE,FALSE,FALSE,1
"C9orf85",TRUE,FALSE,FALSE,1
"CA12",TRUE,FALSE,FALSE,1
"CA2",TRUE,FALSE,FALSE,1
"CA8",TRUE,FALSE,FALSE,1
"CA9",TRUE,FALSE,FALSE,1
"CAB39",TRUE,FALSE,FALSE,1
"CAB39L",TRUE,FALSE,FALSE,1
"CACNB4",TRUE,FALSE,FALSE,1
"CACTIN",TRUE,FALSE,FALSE,1
"CACUL1",TRUE,FALSE,FALSE,1
"CADM4",TRUE,FALSE,FALSE,1
"CADPS2",TRUE,FALSE,FALSE,1
"CALR",TRUE,FALSE,FALSE,1
"CAMK2N1",TRUE,FALSE,FALSE,1
"CAMLG",TRUE,FALSE,FALSE,1
"CAMSAP1",TRUE,FALSE,FALSE,1
"CAMSAP2",TRUE,FALSE,FALSE,1
"CAMSAP3",TRUE,FALSE,FALSE,1
"CAMTA1",TRUE,FALSE,FALSE,1
"CANT1",TRUE,FALSE,FALSE,1
"CANX",TRUE,FALSE,FALSE,1
"CAP1",TRUE,FALSE,FALSE,1
"CAP2",TRUE,FALSE,FALSE,1
"CAPG",TRUE,FALSE,FALSE,1
"CAPN1",TRUE,FALSE,FALSE,1
"CAPN10",TRUE,FALSE,FALSE,1
"CAPN10-AS1",TRUE,FALSE,FALSE,1
"CAPN15",TRUE,FALSE,FALSE,1
"CAPN2",TRUE,FALSE,FALSE,1
"CAPN8",TRUE,FALSE,FALSE,1
"CAPNS1",TRUE,FALSE,FALSE,1
"CAPRIN1",TRUE,FALSE,FALSE,1
"CAPS",TRUE,FALSE,FALSE,1
"CAPZA1",TRUE,FALSE,FALSE,1
"CAPZA2",TRUE,FALSE,FALSE,1
"CARD10",TRUE,FALSE,FALSE,1
"CARD19",TRUE,FALSE,FALSE,1
"CARHSP1",TRUE,FALSE,FALSE,1
"CARKD",TRUE,FALSE,FALSE,1
"CARM1",TRUE,FALSE,FALSE,1
"CARS",TRUE,FALSE,FALSE,1
"CARS2",TRUE,FALSE,FALSE,1
"CASC3",TRUE,FALSE,FALSE,1
"CASC8",TRUE,FALSE,FALSE,1
"CASP14",TRUE,FALSE,FALSE,1
"CASP3",TRUE,FALSE,FALSE,1
"CASP4",TRUE,FALSE,FALSE,1
"CASP7",TRUE,FALSE,FALSE,1
"CAST",TRUE,FALSE,FALSE,1
"CASZ1",TRUE,FALSE,FALSE,1
"CATSPERD",TRUE,FALSE,FALSE,1
"CAV2",TRUE,FALSE,FALSE,1
"CBFB",TRUE,FALSE,FALSE,1
"CBLC",TRUE,FALSE,FALSE,1
"CBLL1",TRUE,FALSE,FALSE,1
"CBR4",TRUE,FALSE,FALSE,1
"CBWD1",TRUE,FALSE,FALSE,1
"CBWD3",TRUE,FALSE,FALSE,1
"CBWD5",TRUE,FALSE,FALSE,1
"CBWD7",TRUE,FALSE,FALSE,1
"CBX1",TRUE,FALSE,FALSE,1
"CBX3",TRUE,FALSE,FALSE,1
"CBX6",TRUE,FALSE,FALSE,1
"CBY1",TRUE,FALSE,FALSE,1
"CCAR1",TRUE,FALSE,FALSE,1
"CCAR2",TRUE,FALSE,FALSE,1
"CCBL1",TRUE,FALSE,FALSE,1
"CCDC110",TRUE,FALSE,FALSE,1
"CCDC112",TRUE,FALSE,FALSE,1
"CCDC116",TRUE,FALSE,FALSE,1
"CCDC12",TRUE,FALSE,FALSE,1
"CCDC124",TRUE,FALSE,FALSE,1
"CCDC127",TRUE,FALSE,FALSE,1
"CCDC13",TRUE,FALSE,FALSE,1
"CCDC130",TRUE,FALSE,FALSE,1
"CCDC137",TRUE,FALSE,FALSE,1
"CCDC142",TRUE,FALSE,FALSE,1
"CCDC149",TRUE,FALSE,FALSE,1
"CCDC163P",TRUE,FALSE,FALSE,1
"CCDC174",TRUE,FALSE,FALSE,1
"CCDC18",TRUE,FALSE,FALSE,1
"CCDC181",TRUE,FALSE,FALSE,1
"CCDC186",TRUE,FALSE,FALSE,1
"CCDC25",TRUE,FALSE,FALSE,1
"CCDC34",TRUE,FALSE,FALSE,1
"CCDC43",TRUE,FALSE,FALSE,1
"CCDC47",TRUE,FALSE,FALSE,1
"CCDC50",TRUE,FALSE,FALSE,1
"CCDC51",TRUE,FALSE,FALSE,1
"CCDC58",TRUE,FALSE,FALSE,1
"CCDC59",TRUE,FALSE,FALSE,1
"CCDC6",TRUE,FALSE,FALSE,1
"CCDC64B",TRUE,FALSE,FALSE,1
"CCDC66",TRUE,FALSE,FALSE,1
"CCDC71",TRUE,FALSE,FALSE,1
"CCDC71L",TRUE,FALSE,FALSE,1
"CCDC82",TRUE,FALSE,FALSE,1
"CCDC84",TRUE,FALSE,FALSE,1
"CCDC86",TRUE,FALSE,FALSE,1
"CCDC9",TRUE,FALSE,FALSE,1
"CCDC90B",TRUE,FALSE,FALSE,1
"CCDC91",TRUE,FALSE,FALSE,1
"CCDC93",TRUE,FALSE,FALSE,1
"CCDC94",TRUE,FALSE,FALSE,1
"CCDC97",TRUE,FALSE,FALSE,1
"CCK",TRUE,FALSE,FALSE,1
"CCL20",TRUE,FALSE,FALSE,1
"CCL28",TRUE,FALSE,FALSE,1
"CCNB1",TRUE,FALSE,FALSE,1
"CCNB1IP1",TRUE,FALSE,FALSE,1
"CCNC",TRUE,FALSE,FALSE,1
"CCND1",TRUE,FALSE,FALSE,1
"CCNG2",TRUE,FALSE,FALSE,1
"CCNJ",TRUE,FALSE,FALSE,1
"CCNK",TRUE,FALSE,FALSE,1
